chopp_cd4,chopp_cd8,park_cd4,park_cd8,union_cd4,union_cd8
ARMH1,ABLIM1,ABLIM1,ABLIM1,ADD3,ACTN1
BACH2,ACTN1,ADD3,ACTN1,AP3M2,AOAH
CCR7,AOAH,ANXA1,ANXA1,ARMH1,CCL4
CD40LG,CCR7,AP3M2,CCL4,BACH2,CCL5
CD69,CD248,CAMK4,CCL5,CAMK4,CD248
CORO1B,CD55,CCR6,CCR7,CCR6,CD55
CTSL,CD69,CCR7,CD7,CD40LG,CD7
DENND2D,CD7,CD69,CD8A,CORO1B,CD8A
EMP3,CD8A,CHI3L2,CD8B,CTSL,CD8B
FCGRT,CD8B,CTSL,CHI3L2,CYLD,CLEC2D
FXYD5,CHI3L2,CYLD,CLEC2D,DENND2D,COTL1
GIMAP4,CLEC2D,DENND2D,COTL1,EMP3,CRTAM
GIMAP7,DUSP2,GIMAP7,CRTAM,FCGRT,CST7
HPGD,EGR1,GPR183,CST7,FXYD5,CTSW
ID2,FTL,GSTK1,CTSW,GIMAP4,CYTIP
IFITM2,GIMAP7,ID2,CYTIP,GPR183,DUSP2
IL7R,GZMM,IFITM2,DUSP2,GSTK1,EGR1
ITM2A,ICOS,IL27RA,GZMK,HPGD,FTL
KLF2,ID2,IL7R,GZMM,IFITM2,GZMK
MSL3,ID3,ITM2A,HCST,IL27RA,GZMM
NDFIP1,IL7R,KLF2,HLA-DPB1,ITM2A,HCST
NOSIP,LDLRAP1,KLRB1,IL7R,KLF2,HLA-DPB1
PIK3IP1,LINC00861,LTB,LRRN3,KLRB1,ICOS
PRMT2,LINC02446,MAL,LYAR,LTB,ID3
RIPOR2,LRRN3,NDFIP1,MT2A,MAL,LDLRAP1
RNASET2,MYC,RGCC,NKG7,MSL3,LINC00861
SCML1,NAB2,RORA,PDE3B,NDFIP1,LINC02446
SCML4,NELL2,RPL17,PECAM1,NOSIP,LRRN3
SELENOW,NR4A1,RPL36A,PIK3IP1,PRMT2,LYAR
SELL,PASK,SAMD3,PTGER4,RIPOR2,MT2A
STAT5A,PAXX,SATB1,RGCC,RNASET2,MYC
SYTL2,PDE3B,SCML1,S100B,RORA,NAB2
TC2N,PLAC8,SELL,SAT1,RPL17,NELL2
TMSB10,PTPN6,SLC2A3,STAG3,RPL36A,NKG7
TRABD2A,RAP1A,THOC7,STK17A,SAMD3,NR4A1
TRAT1,RGCC,TRAT1,ZFP36L2,SATB1,PASK
,RPL13,TTC39C,,SCML1,PAXX
,RPLP0,,,SCML4,PDE3B
,RPLP1,,,SELENOW,PECAM1
,RPS10,,,SLC2A3,PLAC8
,RPS18,,,STAT5A,PTGER4
,RPS19,,,SYTL2,PTPN6
,RPS2,,,TC2N,RAP1A
,RPS5,,,THOC7,RPL13
,SELL,,,TMSB10,RPLP0
,SH2D2A,,,TTC39C,RPLP1
,SNX9,,,,RPS10
,SPINK2,,,,RPS18
,STAG3,,,,RPS19
,STK17A,,,,RPS2
,TRABD2A,,,,RPS5
,TRAT1,,,,S100B
,ZFP36,,,,SAT1
,,,,,SH2D2A
,,,,,SNX9
,,,,,SPINK2
,,,,,STAG3
,,,,,STK17A
,,,,,ZFP36
,,,,,ZFP36L2
