Naive-/CM-like,Tem,TTCRC4,ISG,Tmem/prolif,NKL/Temra,Exhaustion
EEF1A1,DUSP1,TCRC4,TAP1,GAPDH,NKG7,LAG3
TCF7,TNFAIP3,GNLY,IFI35,ACTG1,GZMB,CTLA4
FLT3LG,FOS,PTMS,TYMP,STMN1,GZMH,ENTPD1
LTB,JUNB,YBX3,BST2,S100A10,CST7,HAVCR2
IL7R,BTG1,TRBV14,LY6E,HMGN2,HLA-DQB1,TOX
LEF1,JUN,CMC1,IFI6,TUBA1B,APOBEC3G,PDCD1
CCR7,CXCR4,HOPX,UBE2L6,MKI67,C12orf75,TIGIT
LDHB,PPP1R15A,TIGIT,PARP9,MCM7,HLA-DRB1,CXCR3
SOCS3,KLRB1,RNF19A,GBP1,ANP32B,ANXA1,
PABPC1,PPP2R5C,LAG3,SAMD9L,DUT,CALR,
TMEM123,ZFP36L2,UCP2,CARD16,PRDX3,ARPC5L,
EIF3E,MCL1,CCL5,OAS1,MCM5,BATF,
TNFSF8,PTGER4,FGFBP2,SUB1,CARHSP1,GSTP1,
INPP4B,PMAIP1,FDFT1,PLSCR1,COX5A,S100A4,
TXK,SPOCK2,PDE4D,CD81,CACYBP,DSTN,
SELL,DUSP2,ALOX5AP,ISG15,C1orf21,KLRD1,
RCAN3,DNAJB1,CD6,STAT1,TFDP1,ABI3,
PLP2,GBP4,S100A10,IRF7,MCM3,EMP3,
EEF1B2,MAP3K8,H2AFZ,EIF2AK2,HLA-DMA,HLA-DRB5,
SARAF,EML4,KLF3,CHMP5,NUDT21,FLNA,
EIF3L,NR4A2,CLDND1,EPSTI1,S1PR4,LPCAT1,
PIK3IP1,TSPYL2,PPP1R1B,XAF1,RAD21,CLIC3,
NOSIP,FYN,MARCKSL1,OAS3,SMC3,FGR,
FHIT,GZMK,ADGRG1,SAMD9,HMOX1,CCL4,
SERINC5,PIK3R1,CD5,TRIM22,DENND2D,TTC38,
CAMK4,RGS1,ZNF683,MX1,ZEB2,GNLY,
SATB1,ZFP36,PRF1,ANP32E,SLBP,DIP2A,
FOXP1,IFNGR1,EFHD2,ZBP1,SAMD9L,S1PR5,
SPINT2,GABARAPL1,ITGB1,SAT1,PCNA,YWHAQ,
CD69,RHOH,PLEK,CD38,,HLA-DPB1,
TPT1,ARL4C,SPON2,NASP,,FCRL6,
SESN3,CSRNP1,FCGR3A,LGALS9,,,
NPM1,CREM,PRSS23,JAK2,,,
LEPROTL1,ZNF331,,IFITM1,,,
ABLIM1,SLC2A3,,MX2,,,
BCL2,CD27,,,,,
MYC,CD74,,,,,
DGKA,RSL24D1,,,,,
SNHG8,ISG20,,,,,
PASK,IDI1,,,,,
VIM,COTL1,,,,,
PCED1B,,,,,,
PIM1,,,,,,
PIM2,,,,,,
NELL2,,,,,,
CD55,,,,,,
OXNAD1,,,,,,
TRABD2A,,,,,,
NFKBIZ,,,,,,
SNX9,,,,,,
