leiden_res1,Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8
0,0.0011158067980529172,0.0006973792487830732,0.037574793924431985,0.1893384660446044,0.08350419124928518,0.00828486547554291,0.0016458150271280528,0.10862379179045148,0.0046305982119196065,0.054716375859519925,8.368550985396879e-05,5.579033990264586e-05,0.0007252744187343962,0.011450967265018062,0.12741118875266746,0.06555364938560888,0.06616734312453798,0.23842001757395706
1,0.0002818048032063124,0.0037260857312834644,0.008141027648182359,0.00969617267328386,0.005458663410255607,0.03816889501205498,0.16616046174238866,0.03627975910907933,0.14276022586133116,0.004039202179290478,0.2710440346098047,0.036425880118149276,0.06489860245692039,0.10062518917452067,0.027773428938222124,0.0029746062560666313,0.048052937554143055,0.03349302272181691
2,0.0010259216195882635,0.0025990014362902675,0.006087134942890363,0.016483140688051432,0.006634293140004104,0.029888516517338076,0.17898912523083235,0.038437863347240274,0.02270706518022023,0.00034197387319608784,0.4945626154161822,0.014157718350318036,0.09493194719923398,0.06586416797756652,0.009643663224129677,0.001231105943505916,0.011353532590110115,0.0050612133233021
3,0.0,0.1703872437357631,0.12369020501138953,0.0,0.0018223234624145787,0.006605922551252847,0.018906605922551254,0.0018223234624145787,0.07813211845102505,0.00022779043280182233,0.00022779043280182233,0.0009111617312072893,0.0,0.04305239179954442,0.00022779043280182233,0.01070615034168565,0.511617312072893,0.0316628701594533
4,0.0019518054200135125,0.00495458298926507,0.02259590120861797,0.10156895127993394,0.048870204939569103,0.01914270700397868,0.07544478642744538,0.03678402522333158,0.04023721942797087,0.013287290743938142,0.04541701073492981,0.0030027775692515577,0.005329930185421515,0.027175137001726597,0.015914721117033254,0.10749943697920576,0.21207116582839125,0.21875234591997597
5,0.9902309058614565,0.0,0.0,0.0017761989342806395,0.0008880994671403197,0.0,0.0008880994671403197,0.0017761989342806395,0.0,0.0,0.0008880994671403197,0.0,0.0,0.0026642984014209592,0.0,0.0008880994671403197,0.0,0.0
6,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.05555555555555555,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111
7,0.007068136839129205,0.001790594665912732,0.034492507774950526,0.404485910847234,0.1367448873810197,0.030345867495994723,0.0022618037885213456,0.1923475638488361,0.0004712091226086137,0.01752897936104043,0.00018848364904344549,0.0,0.0041466402789558,0.0016963528413910093,0.04146640278955801,0.027989821882951654,0.027424370935821316,0.06955046649703138
8,0.008316008316008316,0.018711018711018712,0.022176022176022176,0.07137907137907137,0.05266805266805267,0.1683991683991684,0.04781704781704782,0.060984060984060985,0.010395010395010396,0.002772002772002772,0.02286902286902287,0.001386001386001386,0.014553014553014554,0.0498960498960499,0.02702702702702703,0.004851004851004851,0.3943173943173943,0.021483021483021482
9,0.0013117621337997377,0.0017490161783996502,0.006121556624398776,0.013117621337997376,0.0017490161783996502,0.03235679930039353,0.006558810668998688,0.017052907739396588,0.022737210319195452,0.0017490161783996502,0.005247048535198951,0.00043725404459991256,0.0021862702229995625,0.021425448185395716,0.013117621337997376,0.031045037166593792,0.254919108001749,0.5671184958460865
10,0.7919254658385093,0.0010351966873706005,0.004140786749482402,0.032091097308488616,0.09834368530020704,0.0010351966873706005,0.004140786749482402,0.011387163561076604,0.0,0.0,0.003105590062111801,0.0,0.0010351966873706005,0.020703933747412008,0.0010351966873706005,0.023809523809523808,0.003105590062111801,0.003105590062111801
11,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.017094017094017096,0.0,0.08547008547008547,0.14102564102564102,0.01282051282051282,0.03418803418803419,0.029914529914529916,0.3888888888888889,0.0,0.004273504273504274,0.0,0.0,0.004273504273504274,0.0,0.038461538461538464,0.017094017094017096,0.1752136752136752,0.05128205128205128
13,0.0,0.025,0.075,0.025,0.0375,0.125,0.0625,0.1375,0.0,0.0,0.0,0.0,0.0,0.0375,0.05,0.0125,0.3375,0.075
